-2- (🌱 0, 🍀 1, 📋 0)
РС - Колокольный звон (🌱 1, 🍀 0, 📋 0)
РС - Комета (🌱 3, 🍀 0, 📋 2)
РС - Лесное кружево (🌱 1, 🍀 0, 📋 0)
РС - Мавка (🌱 0, 🍀 1, 📋 0)
РС - Маргарет (🌱 0, 🍀 1, 📋 0)
РС - Морское чудо (🌱 0, 🍀 1, 📋 0)
РС - Мэри (🌱 0, 🍀 1, 📋 0)
РС - Мюзикл (🌱 0, 🍀 1, 📋 0)
РС - Пальмира (🌱 0, 🍀 1, 📋 0)
РС - Парус Надежды (🌱 0, 🍀 1, 📋 0)
РС - Призрак (🌱 0, 🍀 1, 📋 0)
РС - Принцесса Вишенка (🌱 0, 🍀 1, 📋 0)
РС - Пьеро (🌱 1, 🍀 0, 📋 0)
РС - Разноперистая птичка (🌱 0, 🍀 1, 📋 0)
РС - Рамзес (🌱 2, 🍀 0, 📋 1)
РС - Румяное облачко (🌱 0, 🍀 1, 📋 0)
РС - Сирена (🌱 0, 🍀 1, 📋 0)
РС - Соловей Разбойник (🌱 0, 🍀 1, 📋 0)
РС - Старый пруд (🌱 1, 🍀 0, 📋 0)
РС - Степной мак (🌱 1, 🍀 0, 📋 0)
РС - Тайна Клеопатры (🌱 1, 🍀 0, 📋 0)
РС - Тайный знак (🌱 0, 🍀 1, 📋 0)
РС - Тропиканка (🌱 0, 🍀 1, 📋 0)
РС - Фисташки (🌱 0, 🍀 1, 📋 0)
РС - Фрейлина (🌱 0, 🍀 1, 📋 0)
РС - Фурия (🌱 1, 🍀 0, 📋 0)
РС - Хризантема Фукси (🌱 1, 🍀 0, 📋 0)
РС - Ча-ча-ча (🌱 0, 🍀 1, 📋 0)
РС - Чарльстон (Валя) (🌱 1, 🍀 0, 📋 0)
РС - Черная роза (🌱 0, 🍀 1, 📋 0)
РС - Черника (🌱 1, 🍀 0, 📋 0)
РС - Черничные облака (🌱 0, 🍀 1, 📋 0)
РС - Эликсир красоты (🌱 0, 🍀 1, 📋 0)
СК - Новая Жизнь (🌱 1, 🍀 0, 📋 0)
СК - Яблоневый сад (мини) (🌱 1, 🍀 0, 📋 0)
СМ - Амадеус (🌱 1, 🍀 0, 📋 0)
СМ - Аэлита (🌱 0, 🍀 1, 📋 0)
СМ - Голубой Туман (🌱 0, 🍀 1, 📋 0)
СМ - Дедушка (🌱 9, 🍀 0, 📋 8)
СМ - Закарпатские узоры (🌱 0, 🍀 1, 📋 0)
СМ - Зефир (🌱 0, 🍀 1, 📋 0)
СМ - Кладовая солнца (🌱 0, 🍀 1, 📋 0)
СМ - Коричная роза (🌱 0, 🍀 1, 📋 0)
СМ - Легенды Петербурга (🌱 1, 🍀 0, 📋 0)
СМ - Лесное волшебство (🌱 1, 🍀 0, 📋 0)
СМ - Летняя ночь (🌱 1, 🍀 0, 📋 0)
СМ - Малинки (🌱 0, 🍀 1, 📋 0)
СМ - Марлезонский балет (🌱 4, 🍀 0, 📋 3)
СМ - Миндаль (🌱 1, 🍀 0, 📋 0)
СМ - Невские зори (🌱 1, 🍀 0, 📋 0)
СМ - Ночная бабочка (🌱 1, 🍀 0, 📋 0)
СМ - Парниковый эффект (🌱 1, 🍀 0, 📋 0)
СМ - Стассия (спорт) (🌱 0, 🍀 1, 📋 0)
СМ - Танец Галактик (🌱 0, 🍀 1, 📋 0)
СМ - Черничный десерт (🌱 1, 🍀 0, 📋 0)
СМ - Чудо гороховое (🌱 0, 🍀 1, 📋 0)
СМ - Яблоневый цвет (🌱 1, 🍀 0, 📋 0)
Фея (Дадоян) (🌱 0, 🍀 1, 📋 0)
Фиолетовая гвоздика (🌱 1, 🍀 0, 📋 0)
Харьков - 13(10) (🌱 1, 🍀 0, 📋 0)
Харьков - 13(12) (🌱 0, 🍀 1, 📋 0)
Харьков - 13(6) (🌱 0, 🍀 1, 📋 0)
Харьков - 13(8) (🌱 0, 🍀 1, 📋 0)
ЯН - Каприз (🌱 0, 🍀 1, 📋 0)
ЯН - Мадам (🌱 0, 🍀 1, 📋 0)
ЯН - Менуэт (🌱 0, 🍀 1, 📋 0)
ЯН - Нарядная (🌱 1, 🍀 0, 📋 0)
ЯН - Сахара (🌱 1, 🍀 0, 📋 0)
ЯН - Талисман (🌱 1, 🍀 0, 📋 0)
ЯН - Танюшка (🌱 0, 🍀 1, 📋 0)
